Year  ,  F       ,VF      ,EF ,   ,  Unc, _c6, _c7
1797,25,60,320,   ,1000,,
1806,7,20,85,   ,300,,
1807,7,20,85,   ,300,,
1808,  unique,,,,,,
1825,18,45,260,   ,675,,
1826,18,45,260,   ,675,,
1826,  proof   ,        ,   ,   ,1200,,
1827,300,900,450,0,,,
1831,30,75,425,   ,1250,,
1831,  proof   ,        ,   ,   ,1500,,
1834,32,75,425,   ,1350,,
1837,70,210,800,   ,3000,,
1839,  proof   ,        ,   ,   ,3500,,
1841,10,50,300,   ,875,,
1841,8,20,175,   ,550,,
1843,  ex. rare,,,,,,
1843,100,350,200,0,5000,,
1844,12,30,200,   ,625,,
1845,15,35,250,   ,800,,
1846,15,25,220,   ,750,,
1846,15,25,220,   ,750,,
1846,16,30,220,   ,775,,
1847,12,25,200,   ,620,,
1848,12,25,175,   ,575,,
1848,9,22,160,   ,500,,
1848,20,120,525,,,,
1849,225,600,250,0,,,
1851,15,45,220,   ,800,,
1853,7,15,100,   ,200,,
1853,  proof   ,        ,   ,   ,3500,,
1854,8,22,120,   ,260,,
1854,15,50,200,,,,
1855,8,20,100,   ,250,,
1856,110,250,110,0,3000,,
1856,120,270,110,0,3200,,
1857,7,18,100,   ,330,,
1857,6,18,90,   ,340,,
1858,7,18,90,   ,350,,
1858,40,120,550,,,,
1858,25,90,400,,,,
1858,7,16,100,   ,360,,
1859,10,28,180,   ,525,,
1860,900,2200,400,0,7000,,
1860,40,100,250,   ,1000,,
1860,10,30,80,   ,400,,
1861,8,15,55,   ,375,,
1862,8,15,55,   ,340,,
1862,100,250,,,,,
1863,8,15,55,   ,320,,
1863,500,1000,,,,,
1864,30,175,700,   ,3500,,
1864,35,185,800,   ,3750,,
1865,8,20,60,   ,400,,
1865,50,160,600,,,,
1866,8,25,80,   ,500,,
1867,8,25,100,   ,900,,
1868,20,80,300,   ,2400,,
1869,150,500,200,0,6000,,
1870,18,50,200,   ,800,,
1871,45,150,500,   ,2500,,
1872,8,25,80,   ,325,,
1873,8,25,80,   ,325,,
1874,8,25,80,   ,325,,
1874,8,25,80,   ,380,,
1874,16,48,130,   ,575,,
1875,8,25,75,   ,350,,
1875,35,125,900,   ,2500,,
1876,8,15,65,   ,370,,
1877,8,15,65,   ,370,,
1878,8,15,65,   ,370,,
1879,6,18,60,   ,370,,
1880,6,18,60,   ,360,,
1881,8,18,60,   ,325,,
1881,12,20,65,   ,350,,
1882,8,18,60,   ,325,,
1883,8,18,65,   ,275,,
1884,8,20,65,   ,275,,
1885,8,18,60,   ,275,,
1886,8,18,60,   ,275,,
1887,8,18,60,   ,275,,
1888,8,18,65,   ,325,,
1889,8,18,55,   ,375,,
1890,8,18,55,   ,275,,
1891,8,15,55,   ,275,,
1892,10,20,100,   ,275,,
1893,8,15,55,   ,275,,
1894,15,45,160,   ,550,,
1895,20,90,300,   ,850,,
1895,,2,18,   ,75,,
1896,          ,2,18,   ,65,,
1897,          ,2,15,   ,60,,
1897,150,275,900,,,,
1898,          ,3,18,   ,65,,
1899,          ,3,16,   ,60,,
1900,          ,3,16,   ,45,,
1901,          ,3,10,   ,30,,
1902,          ,1,8,   ,30,,
1902,4,15,60,   ,225,,
1903,          ,3,15,   ,90,,
1904,          ,4,25,   ,200,,
1905,          ,3,15,   ,85,,
1906,          ,3,15,   ,75,,
1907,          ,3,15,   ,75,,
1908,          ,3,18,   ,140,,
1909,          ,3,20,   ,175,,
1910,          ,3,15,   ,65,,
1911,          ,3,12,   ,65,,
1912,          ,3,12,   ,60,,
1912,          ,4,40,   ,250,,
1913,          ,3,15,   ,75,,
1914,          ,3,18,   ,80,,
1915,          ,3,20,   ,85,,
1916,          ,3,15,   ,65,,
1917,          ,3,15,   ,60,,
1918,          ,3,12,   ,55,,
1918,1,15,150,   ,600,,
1918,8,80,600,   ,2500,,
1919,          ,2,15,   ,55,,
1919,1,18,250,   ,1000,,
1919,15,120,800,   ,3200,,
1920,          ,2,12,   ,30,,
1921,          ,2,12,   ,40,,
1922,          ,3,28,   ,160,,
1922,1000,3000,,,,,
1926,          ,6,25,   ,150,,
1927,          ,2,10,   ,45,,
1928,          ,2,10,   ,40,,
1929,          ,2,10,   ,45,,
1930,          ,2,20,   ,75,,
1931,          ,2,10,   ,55,,
1932,          ,2,15,   ,110,,
1933,  extremely rare,,,,,,
1934,          ,2,25,   ,110,,
1935,          ,        ,2,   ,15,,
1936,          ,        ,2,   ,12,,
1937,          ,        ,   ,   ,4,,
1937,  proof   ,        ,   ,   ,15,,
1938,          ,        ,   ,   ,6,,
1939,          ,        ,   ,   ,15,,
1940,          ,        ,8,   ,25,,
1944,          ,        ,   ,   ,8,,
1945,          ,        ,   ,   ,8,,
1946,          ,        ,   ,   ,8,,
1947,          ,        ,   ,   ,5,,
1948,          ,        ,   ,   ,5,,
1949,          ,        ,   ,   ,8,,
1950,8,16,30,   ,50,,
1950,  proof   ,        ,   ,   ,25,,
1951,20,28,50,   ,75,,
1951,  proof   ,        ,   ,   ,40,,
1952,  unique ,proof,,,,,
1953,          ,        ,2,   ,5,,
1953,  proof   ,        ,   ,   ,10,,
1953,  unique,,,,,,
1954,  unique,,,,,,
1961,          ,        ,   ,   ,2,,
1962,,,,,,,
1963,,,,,,,
1964,,,,,,,
1965,,,,,,,
1966,,,,,,,
1967,,,,,,,
1970,  proof   ,        ,   ,   ,8,,